Raw Letters,Raw Values,time_idx,node_values,series
w,-0.999,1,-0.999,0
w,-0.999,2,-1.998,0
w,-0.999,3,-2.997,0
q,1,4,-1.997,0
w,-0.999,5,-2.996,0
w,-0.999,6,-3.995,0
w,-0.999,7,-4.994,0
w,-0.999,8,-5.993,0
w,-0.999,9,-6.992,0
w,-0.999,10,-7.991,0
w,-0.999,11,-8.99,0
w,-0.999,12,-9.989,0
w,-0.999,13,-10.988,0
w,-0.999,14,-11.987,0
w,-0.999,15,-12.986,0
w,-0.999,16,-13.985,0
w,-0.999,17,-14.984,0
w,-0.999,18,-15.983,0
w,-0.999,19,-16.982,0
w,-0.999,20,-17.981,0
q,1,21,-16.981,0
w,-0.999,22,-17.98,0
q,1,23,-16.98,0
w,-0.999,24,-17.979,0
w,-0.999,25,-18.978,0
q,1,26,-17.978,0
w,-0.999,27,-18.977,0
w,-0.999,28,-19.976,0
w,-0.999,29,-20.975,0
w,-0.999,30,-21.974,0
w,-0.999,31,-22.973,0
w,-0.999,32,-23.972,0
w,-0.999,33,-24.971,0
w,-0.999,34,-25.97,0
q,1,35,-24.97,0
w,-0.999,36,-25.969,0
w,-0.999,37,-26.968,0
w,-0.999,38,-27.967,0
w,-0.999,39,-28.966,0
w,-0.999,40,-29.965,0
w,-0.999,41,-30.964,0
w,-0.999,42,-31.963,0
w,-0.999,43,-32.962,0
w,-0.999,44,-33.961,0
q,1,45,-32.961,0
w,-0.999,46,-33.96,0
w,-0.999,47,-34.959,0
w,-0.999,48,-35.958,0
w,-0.999,49,-36.957,0
w,-0.999,50,-37.956,0
w,-0.999,51,-38.955,0
q,1,52,-37.955,0
w,-0.999,53,-38.954,0
q,1,54,-37.954,0
q,1,55,-36.954,0
w,-0.999,56,-37.953,0
w,-0.999,57,-38.952,0
w,-0.999,58,-39.951,0
q,1,59,-38.951,0
w,-0.999,60,-39.95,0
w,-0.999,61,-40.949,0
q,1,62,-39.949,0
w,-0.999,63,-40.948,0
q,1,64,-39.948,0
w,-0.999,65,-40.947,0
q,1,66,-39.947,0
w,-0.999,67,-40.946,0
w,-0.999,68,-41.945,0
w,-0.999,69,-42.944,0
