raw_values,node,time_idx,series,node_values
-0.999,-0.999,1,0,-0.999
-0.999,-1.998,2,0,-1.998
-0.999,-2.997,3,0,-2.997
-0.999,-3.996,4,0,-3.996
-0.999,-4.995,5,0,-4.995
-0.999,-5.994,6,0,-5.994
-0.999,-6.993,7,0,-6.993
-0.999,-7.992,8,0,-7.992
-0.999,-8.991,9,0,-8.991
-0.999,-9.99,10,0,-9.99
-0.999,-10.989,11,0,-10.989
-0.999,-11.988,12,0,-11.988
-0.999,-12.987,13,0,-12.987
-0.999,-13.986,14,0,-13.986
-0.999,-14.985,15,0,-14.985
1,-13.985,16,0,-13.985
-0.999,-14.984,17,0,-14.984
-0.999,-15.983,18,0,-15.983
-0.999,-16.982,19,0,-16.982
-0.999,-17.981,20,0,-17.981
-0.999,-18.98,21,0,-18.98
-0.999,-19.979,22,0,-19.979
-0.999,-20.978,23,0,-20.978
-0.999,-21.977,24,0,-21.977
-0.999,-22.976,25,0,-22.976
-0.999,-23.975,26,0,-23.975
-0.999,-24.974,27,0,-24.974
-0.999,-25.973,28,0,-25.973
-0.999,-26.972,29,0,-26.972
-0.999,-27.971,30,0,-27.971
-0.999,-28.97,31,0,-28.97
-0.999,-29.969,32,0,-29.969
-0.999,-30.968,33,0,-30.968
-0.999,-31.967,34,0,-31.967
-0.999,-32.966,35,0,-32.966
-0.999,-33.965,36,0,-33.965
-0.999,-34.964,37,0,-34.964
1,-33.964,38,0,-33.964
-0.999,-34.963,39,0,-34.963
1,-33.963,40,0,-33.963
-0.999,-34.962,41,0,-34.962
-0.999,-35.961,42,0,-35.961
-0.999,-36.96,43,0,-36.96
-0.999,-37.959,44,0,-37.959
-0.999,-38.958,45,0,-38.958
-0.999,-39.957,46,0,-39.957
1,-38.957,47,0,-38.957
-0.999,-39.956,48,0,-39.956
-0.999,-40.955,49,0,-40.955
-0.999,-41.954,50,0,-41.954
-0.999,-42.953,51,0,-42.953
-0.999,-43.952,52,0,-43.952
-0.999,-44.951,53,0,-44.951
-0.999,-45.95,54,0,-45.95
-0.999,-46.949,55,0,-46.949
1,-45.949,56,0,-45.949
-0.999,-46.948,57,0,-46.948
1,-45.948,58,0,-45.948
1,-44.948,59,0,-44.948
-0.999,-45.947,60,0,-45.947
-0.999,-46.946,61,0,-46.946
-0.999,-47.945,62,0,-47.945
-0.999,-48.944,63,0,-48.944
-0.999,-49.943,64,0,-49.943
-0.999,-50.942,65,0,-50.942
-0.999,-51.941,66,0,-51.941
1,-50.941,67,0,-50.941
-0.999,-51.94,68,0,-51.94
-0.999,-52.939,69,0,-52.939
-0.999,-53.938,70,0,-53.938
-0.999,-54.937,71,0,-54.937
-0.999,-55.936,72,0,-55.936
-0.999,-56.935,73,0,-56.935
-0.999,-57.934,74,0,-57.934
-0.999,-58.933,75,0,-58.933
1,-57.933,76,0,-57.933
-0.999,-58.932,77,0,-58.932
1,-57.932,78,0,-57.932
-0.999,-58.931,79,0,-58.931
-0.999,-59.93,80,0,-59.93
-0.999,-60.929,81,0,-60.929
-0.999,-61.928,82,0,-61.928
-0.999,-62.927,83,0,-62.927
-0.999,-63.926,84,0,-63.926
-0.999,-64.925,85,0,-64.925
-0.999,-65.924,86,0,-65.924
-0.999,-66.923,87,0,-66.923
-0.999,-67.922,88,0,-67.922
-0.999,-68.921,89,0,-68.921
-0.999,-69.92,90,0,-69.92
-0.999,-70.919,91,0,-70.919
-0.999,-71.918,92,0,-71.918
-0.999,-72.917,93,0,-72.917
-0.999,-73.916,94,0,-73.916
-0.999,-74.915,95,0,-74.915
-0.999,-75.914,96,0,-75.914
-0.999,-76.913,97,0,-76.913
1,-75.913,98,0,-75.913
-0.999,-76.912,99,0,-76.912
-0.999,-77.911,100,0,-77.911
-0.999,-78.91,101,0,-78.91
-0.999,-79.909,102,0,-79.909
-0.999,-80.908,103,0,-80.908
-0.999,-81.907,104,0,-81.907
-0.999,-82.906,105,0,-82.906
-0.999,-83.905,106,0,-83.905
-0.999,-84.904,107,0,-84.904
1,-83.904,108,0,-83.904
-0.999,-84.903,109,0,-84.903
1,-83.903,110,0,-83.903
-0.999,-84.902,111,0,-84.902
-0.999,-85.901,112,0,-85.901
-0.999,-86.9,113,0,-86.9
-0.999,-87.899,114,0,-87.899
1,-86.899,115,0,-86.899
-0.999,-87.898,116,0,-87.898
-0.999,-88.897,117,0,-88.897
1,-87.897,118,0,-87.897
-0.999,-88.896,119,0,-88.896
1,-87.896,120,0,-87.896
-0.999,-88.895,121,0,-88.895
-0.999,-89.894,122,0,-89.894
-0.999,-90.893,123,0,-90.893
-0.999,-91.892,124,0,-91.892
-0.999,-92.891,125,0,-92.891
-0.999,-93.89,126,0,-93.89
-0.999,-94.889,127,0,-94.889
-0.999,-95.888,128,0,-95.888
-0.999,-96.887,129,0,-96.887
-0.999,-97.886,130,0,-97.886
-0.999,-98.885,131,0,-98.885
1,-97.885,132,0,-97.885
-0.999,-98.884,133,0,-98.884
-0.999,-99.883,134,0,-99.883
-0.999,-100.882,135,0,-100.882
-0.999,-101.881,136,0,-101.881
-0.999,-102.88,137,0,-102.88
-0.999,-103.879,138,0,-103.879
-0.999,-104.878,139,0,-104.878
-0.999,-105.877,140,0,-105.877
-0.999,-106.876,141,0,-106.876
-0.999,-107.875,142,0,-107.875
-0.999,-108.874,143,0,-108.874
-0.999,-109.873,144,0,-109.873
-0.999,-110.872,145,0,-110.872
-0.999,-111.871,146,0,-111.871
1,-110.871,147,0,-110.871
-0.999,-111.87,148,0,-111.87
-0.999,-112.869,149,0,-112.869
-0.999,-113.868,150,0,-113.868
1,-112.868,151,0,-112.868
-0.999,-113.867,152,0,-113.867
-0.999,-114.866,153,0,-114.866
-0.999,-115.865,154,0,-115.865
-0.999,-116.864,155,0,-116.864
-0.999,-117.863,156,0,-117.863
-0.999,-118.862,157,0,-118.862
-0.999,-119.861,158,0,-119.861
1,-118.861,159,0,-118.861
-0.999,-119.86,160,0,-119.86
1,-118.86,161,0,-118.86
1,-117.86,162,0,-117.86
1,-116.86,163,0,-116.86
-0.999,-117.859,164,0,-117.859
-0.999,-118.858,165,0,-118.858
-0.999,-119.857,166,0,-119.857
1,-118.857,167,0,-118.857
-0.999,-119.856,168,0,-119.856
-0.999,-120.855,169,0,-120.855
-0.999,-121.854,170,0,-121.854
-0.999,-122.853,171,0,-122.853
-0.999,-123.852,172,0,-123.852
-0.999,-124.851,173,0,-124.851
-0.999,-125.85,174,0,-125.85
-0.999,-126.849,175,0,-126.849
-0.999,-127.848,176,0,-127.848
1,-126.848,177,0,-126.848
-0.999,-127.847,178,0,-127.847
-0.999,-128.846,179,0,-128.846
-0.999,-129.845,180,0,-129.845
-0.999,-130.844,181,0,-130.844
-0.999,-131.843,182,0,-131.843
-0.999,-132.842,183,0,-132.842
-0.999,-133.841,184,0,-133.841
-0.999,-134.84,185,0,-134.84
-0.999,-135.839,186,0,-135.839
-0.999,-136.838,187,0,-136.838
